title,description,Sex
UNCUT: Samuel Ometz - Buddha (9A/5.14D),"Sam on the 2nd ascent of Buddha, a route in Wallis bolted by Cyrille Albasini and recently FA'd by Shawn Raboutou",Male
UNCUT: Daniel Woods - La Rustica (8C/V15),"Daniel Woods making the third ascent of Jimmy Webb's rigorous testpiece La Rustica (8C/V15) in Val Bavona, Switzerland. May 2019",Male
Jimmy Webb & Homies: Tahome,"Jimmy Webb, Roman Yalowitz and David Fitzgerald enjoying some amazing new boulders in South Lake Tahoe, CA",Males
UNCUT: Shawn Raboutou - Creature from the Black Lagoon (8C+/V16),Shawn Raboutou makes the 6th ascent of Creature from the Black Lagoon (8C+/V16) in Rocky Mountain National Park.,Male
Toshi Takeuchi V15 First Ascents in Japan,"Check out Toshi Takeuchi establishing 3 of Japan's hardest boulders.

Daishinmonkan V14 FA
Minelvaster V14/15 FA
Kuzan V15 FA",Male
UNCUT: Diego Cameroni - Vecchio Leone (8B/V13),"Diego, Giuliano's young brother, styling the most classic 8B in Ticino.",Male
UNCUT: Nalle Hukkataival - Casavino (8B+/V14),"Nalle Hukkataival on the 2nd ascent of Casavino in Brione, CH, minutes after the FA by Giuliano Cameroni",Male
UNCUT: Gabriele Moroni - Demencia Senil (9A+/5.15A),"Gabri is one of the best italian climbers. He's been travelling to Margalef every winter holiday since 2014 with the goal of climbing the famous ""Demencia Senil"". His dream came true on 12/30/2019",Male
UNCUT: Jimmy Webb - La Toupie Carnivore assis (8B+/V14),Throwback of Jimbo smacking his way up a Fontainebleau classic.  Filmed by Dave Mason,Male
Yannick Flohe and Lili Kiegsen in Magic Wood,"Believe in Two 8B+/V14 
Sofasurfer 8A+/V12
Ill Trill 8B+/V14
Power of Now 8B+/V14
Pura Vida 8A+/v12",Mix
UNCUT: Giuliano Cameroni - Manouche (8B/V13) First Ascent,"Giuliano on the FA of Manouche, a new and hard 8B in Val Bavona, CH

Filmed by Kevin Takashi Smith",Male
Felipe Camargo & Felipe Ho: Brazilian Takeover,"Brazilian powerhouse climbers, Felipe Camargo and Ho, establish a couple of Brazil's hardest routes. This sector is called Corupa. Top climbs featured are the FA of ""Logan"" (9a/14d) and ""Aquaman"" (8c+/14c). Bom Demais!!!!",Males
Evan Hau - Sacrifice (9a+/5.15a) 2nd ascent,"Evan Hau doing the second ascent of Sacrifice, a route he bolted in the Rockies, Canada, first ascended by Adam Ondra and first 9a+ for a Canadian.",Male
UNCUT: Daniel Woods - La Capella (5.15B/9B),"The uncut video of Daniel Woods on La Capella (5.15B/9B) in Siurana, Spain. (January 25, 2018)

Filmed by Jon Cardwell",Male
UNCUT: Daniel Woods - Radja (8B+/V14),First 8B+ (v14) in the world by Fred Nicole. The crux involves a physical move off of a terrible left-hand undercling to a small right-hand incut crimp. Daniel did it the original way Fred did. There is a new way of starting the line which makes it easier and another way to do the crux which also makes it easier (once you get the right-hand shoulder you cross over with the left hand to match it and grab a right-hand crimp above. This makes getting the left-hand undercling easier). This new way is more 8B (v13). Daniel wanted to do what Fred did. The line is definitely contrived but history is history.,Male
UNCUT: Dave Graham - Petrichor (8C/V15) First Ascent,"Uncut ascent of Dave Graham on his newest addition to Rocklands, a crazy prow-ship on small crimps.",Male
UNCUT: Aidan Roberts - Railway (V15) First Ascent,"Aidan Roberts on the first ascent of Railway, a new V15 in Wild Basin, Colorado",Male
UNCUT: Drew Ruana - Sleepwalker (V16/8C+),"Drew making an ascent of one of America's new testpieces in Red Rocks, NV.",Male
UNCUT: Tristan Chouvy - Duel (8A/V11),"Duel at 10 yo!

Fontainebleau, France",Male
UNCUT: Ethan Salvo - Villified (8B/V13) First Ascent,"FA of Villified (8B/V13) by Ethan Salvo in Niagara Glen, Canada",Male
UNCUT: Daniel Woods - Pegasus (8C/V15),"Daniel made a pit stop in Joe's Valley on his way back from Vegas and dispatched ""Pegasus"" in a few tries (did try the line for a day in Nov. of last year). This power endurance crimp line was put up by Drew Ruana and is a low start to Anthony Chertudi's Pagan Poetry (v12/8A+). The sit probably adds a 4 move 13 into the stand. The crux of this is in the 2nd move. The hold you have to lock off and move off of is complete shit.",Male
Nomura Shinichiro - Gakido (8C/V15) FA,"Rokdo Team - Mellow collab: Gakido, V15 FA, Japan",Male
UNCUT: Jorge Diaz Rullo - Cafe solo (9B/5.15B) First Ascent,,Male
UNCUT: Isabelle Faus - Second Life (8A+/V12),"Isabelle Faus taking down the classic Second Life in Chironico, CH.

Filmed by Giuliano Cameroni",Female
UNCUT: Brooke Raboutou - Euro Trash (V12/8A+) Flash,"Between the 2021 Salt Lake City World Cups where Brooke takes her first podium, she also makes a casual flash of Euro Trash (V12/8A+).

Video: Daniel Gajda @gajdaphotography",Female
The North Face presents: ALPHANE,"The North Face team returns to Switzerland with the goal to establish cutting edge first ascents. Shawn's ascent of Alphane is the first proposed 9a in Switzerland and only the fourth worldwide. The film features Matty Hong, Jimmy Webb, Daniel Woods, Felipe Carmago, Giuliano Cameroni, and Shawn Raboutou. Film by Ben Neilson. Supported by The North Face. 

0:00 Intro
1:23 Alphane V17 (Part 1)
5:24 Trip to the moon V14
11:25 Mystic River V15
14:10 Squalo Bianco V14
17:58 River Arête Project 
23:07 Fight Club V14
31:24 Dreamtime V15
35:15 Alphane V17 (Part 2) 
45:00 Credits",Male
Jimmy Webb - Contagion,"Some fresh spring boulders in South Lake Tahoe, CA.  Featuring Jimmy Webb & Roman Yalowitz",Male
UNCUT: Nicolas Pelorson - No kpote only (8C/V15),"Nico doing the 3rd ascent of Barefoot Charles's No kpote only, proposing a downgrade from 9A to 8C due to different betas used with climbing shoes.",Male
Quick Hit: South Africa FA's 2017,2017 throwback of Jimmy Webb doing first ascents in South Africa,Male
Uncut: Bayes Wilder - Rodeo Free Europe (8B+/14A),"Bayes is an up-and-coming crusher, (10 years old) part of team ABC. Rodeo Free Europe has intense climbing on 2 finger pockets. The feet are poor putting a lot of weight onto the arms.  

Congrats Bayes on such a sick send!!! more to come for ya.",Male
"Summer SENDS - Shawn Raboutou, Daniel Woods and Giuliano Cameroni","Shawn, Daniel and Giul went on a summer trip though Ceuse and the Swiss Alps

Flower Power 8A+ First Ascent
Sophiesticated 7C+ First Ascent
Fuck The System 8C+ First Ascent
Dulcifer 8A+
Le Rêve de Faire 8A+
Big Snapper 8B+ First Ascent
Hazel Grace 8B+
Stairway to Heaven 8B
Child Of Hell 8C First Ascent",Males
UNCUT: Nicolai Uznik - Bügeleisen sit (8C/V15),4th ascent of Bugeleisen sit by Nicolai Uznik after Nalle Hukkataival Jakob Schubert and Stefan Scarperi,Male
Daniel and Giuliano in Spain,"In this video Daniel Woods and Giuliano Cameroni go on a climbing trip to Spain. All of the good times are in Margalef and Siurana. (April 2018)

Edit: Giuliano",Males
UNCUT: Katie Lamb - The Penrose Step (V14/8B+),Katie taking down Washington's hardest bloc in just two sessions.,Female
Giuliano and Charles in Fontainebleau,"Guiliano Camaroni and Charles Albert (the barefoot climber) in Fontainebleau, France. Giuliano goes on a tear through the forest during a week of excellent conditions. Charles monkeys around some old and new classics in the forest waiting for a chance on his potential 9a project. February 2018",Males
Simon Lorenzi in Magic Wood,Simon Lorenzi crushing three classics in the forest: La force tranquille (8C) The never ending story (8B+) and Power of now direct (8C),Male
Katie Lamb: New Base Line (8B+/v14),"Fun times in Magic Wood in the fall of 2021: Katie Lamb vs. New Base Line (8B+/V14) and Keenan Takahashi battling the Sharma classic Practice of the Wild (V15/8C).

Vid/edit: Keenan",Female
UNCUT: Jimmy Webb - Virgo (V15/8C) First Ascent,"Jimmy Webb establishing a rad new V15 in South Lake Tahoe, CA",Male
UNCUT: Dave Graham - Citrine (8B+/V14) First Ascent,"Dave on the FA of a new school roof in Rocklands, summer 2019",Male
Sleepwalker (8C+/V16) First Ascent,"Jimmy Webb, Daniel Woods, and Keenan Takahashi battle against one of the hardest undone projects in the United States. On December 15, 2018, after 11 days of effort, Jimmy Webb completed the first ascent of ""Sleepwalker"", suggesting a grade of 8C+(V16).",Male
UNCUT: Nicholas Milburn - Southern Drawl (8C/V15),"Nick makes the 3rd ascent of Jimmy Webb's southern test piece ""Southern Drawl."" This is Nick's hardest bloc to date. Congrats!",Male
Nico Pelorson - Soudain Seul (8C+/9A) 2nd ascent - Full story,"2nd ascent of Soudain Seul (aka Big Island assis) by Nico Pelorson, first climbed by Simon Lorenzi a few months ago. Simon proposed 9A, and Nico suggested a downgrade to 8C+. Before their ascents, the boulder had been tried by a lot of strong climbers, including Jimmy Webb and Jan Hojer. Either 8C+ or 9A, this is for sure one of the hardest boulders in the world.

Please activate subtitles 

Video by Arkose climbing team",Male
UNCUT: Facundo Langbehn - Inferno (V14/8B+) First Ascent,"Facundo Langbehn claims the first ascent of Chile's hardest boulder and first (V14/8B+) ""Inferno"".",Male
UNCUT: Giuliano Cameroni - Deal with the Devil (8B/V13),"Giuliano climbing the second ascent of Deal with the Devil (8B/V13). (April 16, 2018)

Fun Fact: in 1972, in order to be saved from the highway construction, this 2000 ton boulder called ""The Devil's Stone"" was moved 127 meters uphill, costing the Swiss government 350,000 francs. 

According to a local legend, the people of Uri's region asked the devil to build a bridge through the Schöllenen Gorge. To trick the Devil, who expected to receive the soul of the first man to pass the bridge, the people of Uri sent across a goat by throwing a piece of bread. Enraged, the Devil went to fetch a large rock to smash the bridge, but, carrying the rock back to the bridge, the Devil came across an old woman who marked the rock with a cross, forcing the Devil to abandon it and flee"".",Male
"Daniel Woods vs ""Blade Runner"" (8C/v15)","Daniel Woods battles against Giuliano Cameroni's upper chaos crimp masterpiece, ""Blade Runner."" A 7C+/v10 intro directly leads into a savage 3 move 8B/13. The crux of the 8B/v13 involves taking a miserable left hand 3 finger button grip and doing a near iron cross to a right hand half pad edge. Connecting this move from the start turned into a mental nightmare. Legend crimp bloc.

Music: Jefferson Airplane ""White Rabbit""",Male
UNCUT: Allison Vest - Masterpiece (8B/V13),,Female
UNCUT: Keenan Takahashi - Earn Your Stripes (V11) First Ascent,"Keenan Takahashi on the first ascent of the mega highball Earn Your Stripes in Roy, NM in January 2019. Film/edit by KT.",Male
UNCUT: Hannah Donnelly - Teamwork (8A/V11),"Hannah Donnelly climbing Teamwork in Chironico, Switzerland in March 2019.",Female
"Tension Climbing Presents: Nick Bradley VS The Game, V15",Nick Bradley takes down one of the hardest boulders in Colorado.,Male
UNCUT: Alex Puccio - Epochalypse (V13/8B),"Alex puccio sends Epochalypse (v13/8B) at Flagstaff, Mountain in CO. This was Alex's first hard send outside since having reconstructive ACL knee surgery 5 months ago (thats why she is still wearing a knee brace). Goes to show that motivation and hard work pays off even when being injured. Inspirational shit Alex!",Female
UNCUT: Ryohei Kameyama - Délire onirique (8C/V15),Ryohei Kameyama on the 2nd ascent of Délire onirique (assis) FA'd by Charles Albert in Fontainebleau,Male
Hannes Puman - La Pedriza,"Hannes Puman climbing some good classics in La Pedriza, Spain",Male
Giuliano Cameroni - FA's in Bavona,"Around Bavona, behind every corner you look there's usually a dope hard bloc. Brush it up, find the beta, climb it and name it it's all you gotta do haha.. infinite potential in the Ticino valleys.

Equal Rights 8A+ FA  
Money Tree 8B FA
Mother Nature 7C+ FA  
Open Your Eyes 8B+ FA   
Sassi e Diamanti 8A+ FA",Male
Wild Boyz: Ashima and Zach,Ashima Shiraishi and Zach Galla climbing classics in the South. Filmed and edited by Brian Boyd.,Mix
UNCUT: Stefan Scarperi - Big Illusion (8C/V15) First Ascent,"Stefan Scarperi doing the FA of a longstanding project in Val Daone, Italy",Male
UNCUT: Marine Thevenet - New Base Line (8B+/V14),"Marine climbing the classic Bernd Zangerl testpiece in Magic Wood, Switzerland",Female
Kintsugi (V15) and The Nest (V15) - Keenan Takahashi,"Keenan Takahashi puts down two life-list boulders in Red Rocks in 2018; ""The Nest"" in January, marking his first of the grade. A return trip in December yields Kintsugi. Video and edit by Kevin Takashi Smith. Additional footage by Parker Yamasaki.

kevintakashismith.com 

Music is ""Mouth Full of Gold"" (Instrumental) by Blue Sky Black Death
buy their work here: https://bsbd.bandcamp.com/album/stonedstrumentals",Male
Giuliano Cameroni: Two V16 FA,"In February 2019, Giuliano made the first ascent of two of the hardest boulders in Ticino, CH: Poison The Well in Brione and REM in Cresciano.

VIDEO//EDIT by Sean Morgan",Male
UNCUT: Simon Lorenzi - Quoi de neuf (V14/8B+),"Quoi de neuf might be one of the best sandstone roofs in the world, located outside Fontainebleau.",Male
Primitivo (8C/V15) First Ascent,"Primitivo is one of the best new problems in the world situated in Val Bavona, in Ticino, CH. FA circa April 2019.

Climbers:

Isabelle Faus
Daniel Woods
Giuliano Cameroni
Jimmy Webb

Filmed by the crew
Edited by Giuliano",Mix
Isabelle Faus: Summer of SwissCo,"Isabelle Faus puts the work in everyday! One of the most badass boulders in the world. She develops more than you and she sends harder than you! Enjoy this fun film of her time in SwissCo this summer. Especially stay for her ascent of ""Shadow Walker"" (V14).",Female
UNCUT: Jimmy Webb - Transience (V14/8B+) First Ascent,"Jimmy Webb establishing a sick banger in Little Cottonwood Canyon, Utah",Male
Talking Hardclimbs Episode 4:  Keenan Takahashi,"Chad and Cam talk to Keenan about his early climbing days, Yosemite, skating, Sleepwalker, doing FA's, Roy, and more!  

Intro song by Paul Kimbiris, thanks Friction Labs for the support!  The New Standard in Chalk.",Male
Ephyra (8C+/V16) First Ascent - Jimmy Webb,Jimmy Webb smashing From Dirt Grows the Flowers (8C) and battling against one of Switzerland's oldest projects.,Male
"For The Good Times - A backcountry bouldering expedition in the Wind River Range, WY","Jimmy Webb, Roman Yalowitz, Davin Bagdonas, Wes Walker, Adam Wernham and Eric Jerome spend a week developing amazing new lines deep in Wyoming grizzly country",Male
Versace on the Floor,"Jimmy and Daniel make the FA of Versace (8B/V13), a cool roof in Brione, CH.

Film and edit: Kevin Takashi Smith",Males
UNCUT: Giuliano Cameroni - Imagine (8A/V11) First Ascent,"Giuliano on the first ascent of Imagine, one of the best boulders of the alps situated in the Gottardo region of Switzerland",Male
The North Face Presents: Stone Spirit,"Daniel Woods and Matty Hong take us on a journey through Ticino, Switzerland.",Male
Giuliano Cameroni - Finnish Line (8C/V15),"Back in 2019, Finnish Line 8C by Giul in Rocklands

Video Kaison
Edit Giul",Male
Shawn and Giuliano in Fontainebleau,Shawn Raboutou and Giuliano Cameroni climbing in the Forest of Fontainebleau in February of 2017. Video and edit by Sean Morgan.,Males
Clément Lechaptois vs Understanding (8C/V15),,Male
UNCUT: Irina Kuzmenko - The Arch (8B/V13),,Female
"The North Face presents ""Night Moves""","A film from a trip to Brazil with Shawn Raboutou, Nina Williams, Giuliano Cameroni, and Daniel Woods. 
Film by Matty Hong",Mix
Martin Stráník - Warrior (8C/V15) FA,"Martin Stranik doing a cool FA in Czech Republich. Filmed and edited by Lukas Cerny.

Please activate subtitles if you need",Male
"Shawn Raboutou V16 First Ascent: ""Big Z""","Shawn Raboutou establishing Tahoe's first V16 - ""Big Z"" 

Cheers to Jimmy Webb for the support and footage.",Male
"Pretty Tall - Daniel Woods, Giuliano Cameroni and Shawn Raboutou in Rocklands","As the Rocklands season ramps into gear, here are some highlights from 2018, including the FA of The Smile (8c/V15) and repeats of The Finnish Line (8c/V15) are two of the finest lines in the southern hemisphere. Watch the thought process of Giuliano, Shawn and Daniel working and sending these gems.

Edited by Stefan Lavender",Males
UNCUT: Clem Lechaptois - La Force Tranquille (8C/V15),"Clem vs La Force Tranquille, Magic Wood, Switzerland, June 2023",Male
UNCUT: Daniel Woods - Kalunga (V12/8A+) Flash,"Daniel flashing a crimpy problem in Cocalzinho, Brazil",Male
"Vadim Timonov V15 rampage in Rocklands, South Africa",Vadim Timonov has a great trip to Rocklands where he sends numerous hard climbs like Finnish Line (v15) and Petrichor (v15). Enjoy the video!,Male
UNCUT: Drew Ruana - Creature from the Black Lagoon (8C+/V16),"Drew is going beast mode once again taking down another V16, this time with Creature from the black lagoon put up by Daniel Woods",Male
UNCUT: Ashima Shiraishi -  Lethal Design (V12/8A+) Flash,"Ashima flashing a Las Vegas classic, Lethal Design V12",Female
UNCUT: Ryohei Kameyama - La révolutionnaire (8C+/V16),"Ryohei on the 2nd ascent of Charles Albert's roof ""La révolutionnaire"" 8C+ in Fontainebleau, France",Male
Vadim and Irina in Switzerland,"Vadim Timonov and Irina Kuzmenko climbing some hard classics and projecting one of the hardest boulders in the world, Off the Wagon sit. Located in Ticino and Murgtal. Filmed and edited by Vadim and Irina.

List of boulders:

Off the Wagon 8B+
Dreamtime stand 8A+ by Irina (FFA)
Ninja Skills 8B+
Boogalagga 8B
Dreamtime 8B+/C
Story of two Worlds 8B+/C
Heritage 8B
Entlinge 8B
Arzak 8B+",Mix
UNCUT: Taylor McNeill - Squoze (V15),Taylor McNeill satching up an ascent of a nice Jimmy squeeze bloc in Red Rocks in March 2019.,Male
UNCUT: Keenan Takahashi - Coup de Grâce (9a/14d),"Keenan takes down the mega-classic Dave Graham route in Ticino, Switzerland. 

Filmed by Kevin Takashi Smith.",Male
The Grand Illusion (V16) First Ascent,"Nathaniel Coleman and Drew Ruana battling against one of the best and hardest undone project in the US, the low start to Euro Roof, a V13 in Little Cottonwood Canyon put up by Chris Sharma",Male
Discovering Ticino with Giuliano Cameroni,"Discovering the valleys and mountains of Ticino, Switzerland.

Film by Redesign Swiss.",Male
UNCUT: Shawn Raboutou - Botchla (V14/8B+),"Shawn Raboutou sizing up the Jimmy Webb testpiece ""Botchla"" (v14/8B+) in Kirkwood, CA",Male
Dave Graham & Clement Lechaptois - Roadkill (8C/V15),Val Bavona: 4th and 5th ascent of this beauty FA'd by Shawn Raboutou.,Males
"Ryuichi Murai: ""Floatin"" (v16/8C+) FA","Ryuichi recently made the first ascent of ""The launchpad Project"" which he called ""Floatin."" The climb is located in Mizugaki, Japan. It is a few moves, but each move looks pretty fucked up. Amazing looking boulder problem.

Shoutout to Rokdo (team Ryuichi and friends created)
@rokdo_team",Male
UNCUT: Jimmy Webb - Tierrany (V14)  First Ascent,Jimmy Webb establishing one of Yosemites hardest boulders.,Male
Jernej Kruder - FA's in Slovenia,"Jernej Kruder doing some first ascents in Slovenja.

Video edit by Nik Cebulec",Male
UNCUT: Nalle Hukkataival - Kingda Ka (8B/V13),"Nalle on the third ascent of Kingda Ka, a vertical testpiece in Gottardo (CH) first climbed by Giuliano Cameroni back in 2011 (13yo)",Male
Ramping in Rocklands,"Keenan and Jimmy arrive in Rocklands and start ramping.

Night Show (8A+)
Moon Shadow (8B) FA
Modified Limited Rampage (8B)",Males
UNCUT: Jimmy Webb - Gateway (8B+/V14) First Ascent,"Throwback to last winter's new boulder situated on the Story side of the Dreamtime boulder.

First ascent by Jimmy Webb, March 2019",Male
UNCUT: Daniel Woods - Bhai Bon (8B+/V14),"Daniel Woods makes the second ascent of Bhai Bon, a classic boulder first ascended in 2003 by Dave Graham and situated above la Olla in Siurana, Spain.",Male
UNCUT: Michaela Kiersch - Wovenhand (8B/V13),"Michaela Kiersch cruising a power test-piece in Magic Wood. Woven Hand 8B \ V13.

Supported by La Sportiva",Female